Uid,User uid,Day,Due time,Subject,Description,Priority
1,main,1,12:00,Creating a Business Plan,Business plan of the next month,high
2,1001,1,12:00,Creating a Business Plan,Business plan of the next month,high
3,2001,1,12:00,Creating a Business Plan,Business plan of the next month,high
4,main,4,15:34,Hire a Worker,Hire a worker for the Inventory Analyst position,normal
5,1001,4,15:34,Hire a Worker,Hire a worker for the Inventory Analyst position,normal
6,2001,4,15:34,Hire a Worker,Hire a worker for the Inventory Analyst position,normal
7,main,6,11:05,Coaching,Present/Discuss the company development strategy with the team members,normal
8,1001,6,11:05,Coaching,Present/Discuss the company development strategy with the team members,normal
9,2001,6,11:05,Coaching,Present/Discuss the company development strategy with the team members,normal
10,main,10,16:45,Place an Advert,Place a classified ad in the paper or online,low
11,1001,10,16:45,Place an Advert,Place a classified ad in the paper or online,low
12,2001,10,16:45,Place an Advert,Place a classified ad in the paper or online,low
13,main,15,11:12,Hire a worker,Hire a worker for the Multi Skilled Tradesman position,normal
14,1001,15,11:12,Hire a worker,Hire a worker for the Multi Skilled Tradesman position,normal
15,2001,15,11:12,Hire a worker,Hire a worker for the Multi Skilled Tradesman position,normal
16,main,18,12:35,Drafting correspondence,Prepare the legal correspondence with the Mr. Thompson,low
17,1001,18,12:35,Drafting correspondence,Prepare the legal correspondence with the Mr. Thompson,low
18,2001,18,12:35,Drafting correspondence,Prepare the legal correspondence with the Mr. Thompson,low
19,main,20,15:17,Scheduling Appointments,Schedule appointments for the next month,normal
20,1001,20,15:17,Scheduling Appointments,Schedule appointments for the next month,normal
21,2001,20,15:17,Scheduling Appointments,Schedule appointments for the next month,normal
22,main,23,13:25,Hiring Outside Vendors,Hire an agency to conduct phone surveys,high
23,1001,23,13:25,Hiring Outside Vendors,Hire an agency to conduct phone surveys,high
24,2001,23,13:25,Hiring Outside Vendors,Hire an agency to conduct phone surveys,high
25,main,27,09:40,Weekly Supplier Report,Manage weekly supplier report,low
26,1001,27,09:40,Weekly Supplier Report,Manage weekly supplier report,low
27,2001,27,09:40,Weekly Supplier Report,Manage weekly supplier report,low
28,main,30,17:50,Mr. Burton Agreement,Initiate agreement and credit arrangement with Mr. Burton,normal
29,1001,30,17:50,Mr. Burton Agreement,Initiate agreement and credit arrangement with Mr. Burton,normal
30,2001,30,17:50,Mr. Burton Agreement,Initiate agreement and credit arrangement with Mr. Burton,normal