Uid,Website uid,Tracking event uid,Tracking event dictionary uid,Tracking visit uid
1,1,1,1,1
2,1,2,4,1
3,1,3,3,3
4,1,4,6,2
5,1,5,2,3
6,1,6,3,6
7,1,7,6,4
8,1,8,2,5
9,1,9,3,9
10,1,10,1,6
11,1,11,1,7
12,1,12,1,8
13,1,13,6,9
14,1,14,1,10
15,1,15,1,11
16,1,16,6,12
17,1,17,1,13
18,1,18,1,14
19,1,19,6,15
20,1,20,1,16
21,1,21,4,17
22,1,22,4,18
23,1,23,2,19
24,1,24,1,20
25,1,25,3,16
26,1,26,1,21
27,1,27,1,22
28,1,28,1,23
29,1,29,1,24
30,1,30,1,25
31,1,31,1,26
32,1,32,4,27
33,1,33,4,28
34,1,34,2,29
35,1,35,2,30
36,1,36,3,20
37,1,37,3,27
38,1,38,3,28
39,1,39,3,30
40,1,40,1,31
41,1,41,1,32
42,1,42,1,33
43,1,43,1,34
44,1,44,1,35
45,1,45,1,36
46,1,46,1,37
47,1,47,1,38
48,1,48,1,39
49,1,49,1,40
50,1,50,1,41
51,1,51,6,42
52,1,52,6,43
53,1,53,1,44
54,1,54,1,45
55,1,55,1,46
56,1,56,6,47
57,1,57,6,48
58,1,58,1,49
59,1,59,4,50
60,1,60,4,51
61,1,61,1,52
62,1,62,1,53
63,1,63,1,54
64,1,64,6,55
65,1,65,4,56
66,1,66,4,57
67,1,67,4,58
68,1,68,4,59
69,1,69,4,60
70,1,70,4,61
71,1,71,2,62
72,1,72,2,63
73,1,73,2,64
74,1,74,2,65
75,1,75,2,66
76,1,76,2,67
77,1,77,3,32
78,1,78,3,33
79,1,79,3,36
80,1,80,3,37
81,1,81,3,38
82,1,82,3,40
83,1,83,3,49
84,1,84,3,50
85,1,85,1,68
86,1,86,3,52
87,1,87,3,60
88,1,88,3,61
89,1,89,3,62
90,1,90,3,66
91,1,91,3,78
92,1,92,1,69
93,1,93,3,90
94,1,94,3,94
95,1,95,1,70
96,1,96,6,71
97,1,97,1,72
98,1,98,6,73
99,1,99,1,74
100,1,100,1,75
101,1,101,1,76
102,1,102,6,77
103,1,103,6,78
104,1,104,6,79
105,1,105,1,80
106,1,106,4,81
107,1,107,4,82
108,1,108,4,83
109,1,109,4,84
110,1,110,2,85
111,1,111,2,86
112,1,112,2,87
113,1,113,2,88
114,1,114,3,98
115,1,115,3,107
116,1,116,3,113
117,1,117,3,129
118,1,118,3,131
119,1,119,3,138
120,1,120,3,140
121,1,121,3,150
122,1,122,1,89
123,1,123,3,153
124,1,124,3,159
125,1,125,3,162
126,1,126,6,90
127,1,127,2,91
128,1,128,4,92
129,1,129,4,93
130,1,130,2,94
131,1,131,2,95
132,1,132,3,166
133,1,133,3,175
134,1,134,3,177
135,1,135,3,182
136,1,136,1,96
137,1,137,1,97
138,1,138,6,98
139,1,139,1,99
140,1,140,4,100
141,1,141,4,101
142,1,142,2,102
143,1,143,2,103
144,1,144,3,183
145,1,145,3,196
146,1,146,3,199
147,1,147,3,204
148,1,148,1,104
149,1,149,3,209
150,1,150,3,210
151,1,151,4,105
152,1,152,3,213
153,1,153,6,307
154,1,154,6,309
155,1,155,6,313
156,1,156,6,315
157,1,157,6,316
158,1,158,6,320
159,1,159,6,322
160,1,160,6,339
161,1,161,6,341
162,1,162,6,344
163,1,163,6,351
164,1,164,6,352
165,1,165,6,355
166,1,166,6,357
167,1,167,6,359
168,1,168,6,366
169,1,169,6,367
170,1,170,6,368
171,1,171,6,369
172,1,172,6,370
173,1,173,6,372
174,1,174,6,379
175,1,175,6,380
176,1,176,6,385
177,1,177,6,386
178,1,178,6,511
179,1,179,6,512
180,1,180,6,517
181,1,181,6,518
182,1,182,6,521
183,1,183,6,522
184,1,184,6,523
185,1,185,6,527
186,1,186,6,531
187,1,187,6,532
188,1,188,6,533
189,1,189,6,534
190,1,190,6,535
191,1,191,6,537
192,1,192,6,539
193,1,193,6,540
194,1,194,6,541
195,1,195,6,543
196,1,196,6,545
197,1,197,6,546
198,1,198,6,550
199,1,199,6,552
200,1,200,6,554
201,1,201,6,557
202,1,202,6,558
203,1,203,6,561
204,1,204,6,563
205,1,205,6,627
206,1,206,6,629
207,1,207,6,630
208,1,208,6,635
209,1,209,6,636
210,1,210,6,638
211,1,211,6,639
212,1,212,6,641
213,1,213,6,642
214,1,214,6,643
215,1,215,6,645
216,1,216,6,647
217,1,217,6,648
218,1,218,6,650
219,1,219,6,652
220,1,220,6,653
221,1,221,6,656
222,1,222,6,661
223,1,223,6,664
224,1,224,6,665
225,1,225,6,755
226,1,226,6,756
227,1,227,6,758
228,1,228,6,759
229,1,229,6,760
230,1,230,6,763
231,1,231,6,764
232,1,232,6,765
233,1,233,6,766
234,1,234,6,767
235,1,235,6,768
236,1,236,6,770
237,1,237,6,771
238,1,238,6,772
239,1,239,6,774
240,1,240,6,775
241,1,241,6,777
242,1,242,6,778
243,1,243,6,779
244,1,244,6,780
245,1,245,6,842
246,1,246,6,844
247,1,247,6,846
248,1,248,6,847
249,1,249,6,848
250,1,250,6,849
251,1,251,6,850
252,1,252,6,851
253,1,253,6,852
254,1,254,6,853
255,2,255,7,1001
256,2,256,10,1001
257,2,257,9,1003
258,2,258,12,1002
259,2,259,8,1003
260,2,260,9,1006
261,2,261,12,1004
262,2,262,8,1005
263,2,263,9,1009
264,2,264,7,1006
265,2,265,7,1007
266,2,266,7,1008
267,2,267,12,1009
268,2,268,7,1010
269,2,269,7,1011
270,2,270,12,1012
271,2,271,7,1013
272,2,272,7,1014
273,2,273,12,1015
274,2,274,7,1016
275,2,275,10,1017
276,2,276,10,1018
277,2,277,8,1019
278,2,278,7,1020
279,2,279,9,1016
280,2,280,7,1021
281,2,281,7,1022
282,2,282,7,1023
283,2,283,7,1024
284,2,284,7,1025
285,2,285,7,1026
286,2,286,10,1027
287,2,287,10,1028
288,2,288,8,1029
289,2,289,8,1030
290,2,290,9,1020
291,2,291,9,1027
292,2,292,9,1028
293,2,293,9,1030
294,2,294,7,1031
295,2,295,7,1032
296,2,296,7,1033
297,2,297,7,1034
298,2,298,7,1035
299,2,299,7,1036
300,2,300,7,1037
301,2,301,7,1038
302,2,302,7,1039
303,2,303,7,1040
304,2,304,7,1041
305,2,305,12,1042
306,2,306,12,1043
307,2,307,7,1044
308,2,308,7,1045
309,2,309,7,1046
310,2,310,12,1047
311,2,311,12,1048
312,2,312,7,1049
313,2,313,10,1050
314,2,314,10,1051
315,2,315,7,1052
316,2,316,7,1053
317,2,317,7,1054
318,2,318,12,1055
319,2,319,10,1056
320,2,320,10,1057
321,2,321,10,1058
322,2,322,10,1059
323,2,323,10,1060
324,2,324,10,1061
325,2,325,8,1062
326,2,326,8,1063
327,2,327,8,1064
328,2,328,8,1065
329,2,329,8,1066
330,2,330,8,1067
331,2,331,9,1032
332,2,332,9,1033
333,2,333,9,1036
334,2,334,9,1037
335,2,335,9,1038
336,2,336,9,1040
337,2,337,9,1049
338,2,338,9,1050
339,2,339,7,1068
340,2,340,9,1052
341,2,341,9,1060
342,2,342,9,1061
343,2,343,9,1062
344,2,344,9,1066
345,2,345,9,1078
346,2,346,7,1069
347,2,347,9,1090
348,2,348,9,1094
349,2,349,7,1070
350,2,350,12,1071
351,2,351,7,1072
352,2,352,12,1073
353,2,353,7,1074
354,2,354,7,1075
355,2,355,7,1076
356,2,356,12,1077
357,2,357,12,1078
358,2,358,12,1079
359,2,359,7,1080
360,2,360,10,1081
361,2,361,10,1082
362,2,362,10,1083
363,2,363,10,1084
364,2,364,8,1085
365,2,365,8,1086
366,2,366,8,1087
367,2,367,8,1088
368,2,368,9,1098
369,2,369,9,1107
370,2,370,9,1113
371,2,371,9,1129
372,2,372,9,1131
373,2,373,9,1138
374,2,374,9,1140
375,2,375,9,1150
376,2,376,7,1089
377,2,377,9,1153
378,2,378,9,1159
379,2,379,9,1162
380,2,380,12,1090
381,2,381,8,1091
382,2,382,10,1092
383,2,383,10,1093
384,2,384,8,1094
385,2,385,8,1095
386,2,386,9,1166
387,2,387,9,1175
388,2,388,9,1177
389,2,389,9,1182
390,2,390,7,1096
391,2,391,7,1097
392,2,392,12,1098
393,2,393,7,1099
394,2,394,10,1100
395,2,395,10,1101
396,2,396,8,1102
397,2,397,8,1103
398,2,398,9,1183
399,2,399,9,1196
400,2,400,9,1199
401,2,401,9,1204
402,2,402,7,1104
403,2,403,9,1209
404,2,404,9,1210
405,2,405,10,1105
406,2,406,9,1213
407,2,407,12,1307
408,2,408,12,1309
409,2,409,12,1313
410,2,410,12,1315
411,2,411,12,1316
412,2,412,12,1320
413,2,413,12,1322
414,2,414,12,1339
415,2,415,12,1341
416,2,416,12,1344
417,2,417,12,1351
418,2,418,12,1352
419,2,419,12,1355
420,2,420,12,1357
421,2,421,12,1359
422,2,422,12,1366
423,2,423,12,1367
424,2,424,12,1368
425,2,425,12,1369
426,2,426,12,1370
427,2,427,12,1372
428,2,428,12,1379
429,2,429,12,1380
430,2,430,12,1385
431,2,431,12,1386
432,2,432,12,1511
433,2,433,12,1512
434,2,434,12,1517
435,2,435,12,1518
436,2,436,12,1521
437,2,437,12,1522
438,2,438,12,1523
439,2,439,12,1527
440,2,440,12,1531
441,2,441,12,1532
442,2,442,12,1533
443,2,443,12,1534
444,2,444,12,1535
445,2,445,12,1537
446,2,446,12,1539
447,2,447,12,1540
448,2,448,12,1541
449,2,449,12,1543
450,2,450,12,1545
451,2,451,12,1546
452,2,452,12,1550
453,2,453,12,1552
454,2,454,12,1554
455,2,455,12,1557
456,2,456,12,1558
457,2,457,12,1561
458,2,458,12,1563
459,2,459,12,1627
460,2,460,12,1629
461,2,461,12,1630
462,2,462,12,1635
463,2,463,12,1636
464,2,464,12,1638
465,2,465,12,1639
466,2,466,12,1641
467,2,467,12,1642
468,2,468,12,1643
469,2,469,12,1645
470,2,470,12,1647
471,2,471,12,1648
472,2,472,12,1650
473,2,473,12,1652
474,2,474,12,1653
475,2,475,12,1656
476,2,476,12,1661
477,2,477,12,1664
478,2,478,12,1665
479,2,479,12,1755
480,2,480,12,1756
481,2,481,12,1758
482,2,482,12,1759
483,2,483,12,1760
484,2,484,12,1763
485,2,485,12,1764
486,2,486,12,1765
487,2,487,12,1766
488,2,488,12,1767
489,2,489,12,1768
490,2,490,12,1770
491,2,491,12,1771
492,2,492,12,1772
493,2,493,12,1774
494,2,494,12,1775
495,2,495,12,1777
496,2,496,12,1778
497,2,497,12,1779
498,2,498,12,1780
499,2,499,12,1842
500,2,500,12,1844
501,2,501,12,1846
502,2,502,12,1847
503,2,503,12,1848
504,2,504,12,1849
505,2,505,12,1850
506,2,506,12,1851
507,2,507,12,1852
508,2,508,12,1853
